Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Uninsured,Visit count,2407000,367000,1687000,3127000,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Other,Visit count,734000,151000,438000,1029000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,Total,All visits,Visit count,29888000,2063000,25845000,33931000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Female,Visit count,14394000,1013000,12408000,16380000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Male,Visit count,15494000,1149000,13242000,17747000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,0-17 years old,Visit count,8447000,799000,6882000,10012000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,18-44 years old,Visit count,11580000,912000,9792000,13367000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,45-64 years old,Visit count,5981000,443000,5113000,6849000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,65+ years old,Visit count,3880000,337000,3220000,4541000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic white,Visit count,19545000,1437000,16728000,22361000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic black,Visit count,5021000,588000,3868000,6174000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Hispanic,Visit count,4451000,516000,3440000,5462000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic other,Visit count,871000,173000,533000,1210000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Northeast,Visit count,4729000,614000,3524000,5933000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Midwest,Visit count,6558000,880000,4833000,8283000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,South,Visit count,11435000,1385000,8721000,14149000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,West,Visit count,7167000,1094000,5024000,9311000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),MSA,Visit count,23023000,1908000,19284000,26763000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),Non-MSA,Visit count,6865000,1337000,4245000,9485000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Private insurance,Visit count,8611000,670000,7298000,9924000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicare,Visit count,4062000,345000,3386000,4737000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicaid,Visit count,9014000,719000,7605000,10423000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Uninsured,Visit count,2977000,386000,2221000,3733000,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Other,Visit count,1643000,253000,1148000,2138000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,Total,All visits,Visit count,14918000,1232000,12503000,17333000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Female,Visit count,8051000,714000,6652000,9450000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Male,Visit count,6866000,607000,5677000,8056000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,0-17 years old,Visit count,5903000,668000,4593000,7212000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,18-44 years old,Visit count,4442000,363000,3731000,5154000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,45-64 years old,Visit count,2670000,267000,2147000,3194000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,65+ years old,Visit count,1902000,232000,1447000,2357000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic white,Visit count,7739000,662000,6442000,9036000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic black,Visit count,4070000,478000,3133000,5006000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Hispanic,Visit count,2727000,404000,1935000,3520000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic other,Visit count,382000,84000,217000,546000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Northeast,Visit count,2043000,325000,1406000,2680000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Midwest,Visit count,3627000,668000,2318000,4936000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,South,Visit count,5966000,763000,4472000,7461000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,West,Visit count,3282000,620000,2067000,4497000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),MSA,Visit count,11371000,1056000,9300000,13441000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),Non-MSA,Visit count,3547000,791000,1996000,5098000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Private insurance,Visit count,3111000,347000,2429000,3792000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicare,Visit count,2187000,251000,1695000,2680000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicaid,Visit count,6338000,640000,5084000,7592000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Uninsured,Visit count,1114000,175000,771000,1456000,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,Total,All visits,Visit count,10756000,762000,9262000,12249000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Female,Visit count,5744000,507000,4751000,6738000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Male,Visit count,5011000,352000,4322000,5701000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,0-17 years old,Visit count,847000,126000,599000,1095000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,18-44 years old,Visit count,4305000,355000,3610000,5001000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,45-64 years old,Visit count,3838000,343000,3166000,4511000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,65+ years old,Visit count,1765000,158000,1455000,2076000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic white,Visit count,6266000,485000,5315000,7217000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic black,Visit count,2535000,329000,1891000,3178000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Hispanic,Visit count,1582000,240000,1112000,2053000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic other,Visit count,372000,67000,242000,503000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Northeast,Visit count,1702000,237000,1238000,2165000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Midwest,Visit count,2110000,263000,1594000,2627000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,South,Visit count,4199000,488000,3242000,5156000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,West,Visit count,2744000,465000,1833000,3655000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),MSA,Visit count,8923000,776000,7403000,10444000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),Non-MSA,Visit count,1832000,344000,1159000,2506000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Private insurance,Visit count,3122000,311000,2513000,3731000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicare,Visit count,2103000,190000,1730000,2475000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicaid,Visit count,3213000,352000,2523000,3902000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Uninsured,Visit count,1040000,199000,650000,1430000,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Other,Visit count,425000,96000,237000,614000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,Total,All visits,Visit count,7968000,538000,6913000,9023000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Female,Visit count,4136000,330000,3489000,4783000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Male,Visit count,3832000,305000,3235000,4430000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,0-17 years old,Visit count,1196000,159000,884000,1508000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,18-44 years old,Visit count,3224000,259000,2716000,3732000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,45-64 years old,Visit count,2233000,230000,1783000,2683000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,65+ years old,Visit count,1315000,158000,1005000,1625000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic white,Visit count,4847000,378000,4106000,5588000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic black,Visit count,1421000,195000,1039000,1802000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Hispanic,Visit count,1366000,179000,1016000,1716000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic other,Visit count,335000,76000,185000,484000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Northeast,Visit count,1402000,207000,996000,1807000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Midwest,Visit count,1669000,194000,1288000,2049000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,South,Visit count,2852000,370000,2126000,3577000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,West,Visit count,2046000,269000,1519000,2573000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),MSA,Visit count,6547000,526000,5516000,7577000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1422000,278000,877000,1966000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Private insurance,Visit count,1882000,168000,1553000,2212000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicare,Visit count,1518000,164000,1197000,1839000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicaid,Visit count,2830000,285000,2272000,3389000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Uninsured,Visit count,879000,145000,594000,1164000,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,Total,All visits,Visit count,8192000,668000,6882000,9502000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Female,Visit count,5792000,468000,4875000,6709000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Male,Visit count,2401000,251000,1909000,2893000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,0-17 years old,Visit count,903000,172000,567000,1240000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,18-44 years old,Visit count,3943000,340000,3276000,4609000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,45-64 years old,Visit count,1827000,204000,1427000,2227000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,65+ years old,Visit count,1519000,209000,1111000,1928000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic white,Visit count,5058000,489000,4100000,6015000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic black,Visit count,1691000,240000,1221000,2162000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Hispanic,Visit count,1229000,192000,853000,1605000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic other,Visit count,215000,51000,115000,314000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Northeast,Visit count,1285000,276000,743000,1827000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Midwest,Visit count,1515000,208000,1108000,1922000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,South,Visit count,3285000,437000,2429000,4140000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,West,Visit count,2108000,368000,1387000,2829000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),MSA,Visit count,6904000,646000,5638000,8170000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1288000,278000,744000,1832000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Private insurance,Visit count,2252000,224000,1813000,2692000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicare,Visit count,1504000,191000,1130000,1877000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicaid,Visit count,2715000,285000,2157000,3273000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Uninsured,Visit count,768000,144000,487000,1050000,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",Total,All visits,Visit count,5485000,472000,4561000,6409000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Female,Visit count,2407000,258000,1901000,2912000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Male,Visit count,3079000,292000,2506000,3651000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,0-17 years old,Visit count,587000,94000,402000,771000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,18-44 years old,Visit count,2725000,257000,2220000,3229000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,45-64 years old,Visit count,1798000,232000,1342000,2254000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,65+ years old,Visit count,376000,73000,232000,520000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic white,Visit count,3332000,318000,2709000,3956000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic black,Visit count,1180000,163000,861000,1500000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Hispanic,Visit count,687000,113000,465000,908000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic other,Visit count,286000,70000,150000,422000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Northeast,Visit count,1517000,267000,993000,2041000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Midwest,Visit count,1073000,211000,660000,1487000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,South,Visit count,1498000,226000,1056000,1940000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,West,Visit count,1397000,235000,935000,1858000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),MSA,Visit count,4800000,463000,3892000,5708000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),Non-MSA,Visit count,685000,147000,396000,974000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Private insurance,Visit count,1118000,154000,816000,1419000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicare,Visit count,695000,100000,498000,891000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicaid,Visit count,2196000,290000,1628000,2764000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Uninsured,Visit count,610000,103000,408000,812000,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,8,8. Diseases of the circulatory system,Total,All visits,Visit count,4774000,461000,3871000,5677000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Female,Visit count,2395000,281000,1844000,2947000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Male,Visit count,2379000,254000,1880000,2877000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,0-17 years old,Visit count,,,,,No
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,18-44 years old,Visit count,544000,85000,378000,710000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,45-64 years old,Visit count,1610000,168000,1281000,1940000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,65+ years old,Visit count,2497000,311000,1888000,3107000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic white,Visit count,3304000,399000,2521000,4086000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic black,Visit count,895000,164000,575000,1216000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Hispanic,Visit count,440000,94000,255000,625000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic other,Visit count,,,,,No
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Northeast,Visit count,925000,179000,574000,1276000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Midwest,Visit count,1246000,299000,660000,1831000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,South,Visit count,1594000,238000,1127000,2060000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,West,Visit count,1009000,186000,645000,1373000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By metropolitan statistical area (MSA),MSA,Visit count,3660000,330000,3013000,4307000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By metropolitan statistical area (MSA),Non-MSA,Visit count,,,,,No
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Private insurance,Visit count,921000,116000,693000,1149000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Medicare,Visit count,2254000,276000,1713000,2795000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Medicaid,Visit count,680000,102000,481000,879000,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Uninsured,Visit count,,,,,No
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Other,Visit count,,,,,No
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,Total,All visits,Visit count,3672000,303000,3078000,4267000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By sex,Female,Visit count,1853000,176000,1507000,2198000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By sex,Male,Visit count,1820000,202000,1424000,2216000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,0-17 years old,Visit count,1568000,170000,1234000,1901000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,18-44 years old,Visit count,1239000,151000,944000,1535000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,45-64 years old,Visit count,447000,72000,306000,588000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,65+ years old,Visit count,419000,77000,268000,569000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic white,Visit count,1591000,157000,1284000,1898000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic black,Visit count,1063000,131000,807000,1319000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Hispanic,Visit count,789000,143000,508000,1070000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic other,Visit count,229000,65000,101000,357000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,Northeast,Visit count,837000,127000,588000,1086000,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,Midwest,Visit count,753000,124000,511000,995000,Yes
